wavelength,flux,flux_error
6100.025902,90438.203125,302.814209
6100.069049,91261.304688,304.131348
6100.112197,91475.125,304.491425
6100.155344,90175.703125,302.45636
6100.198491,91162.492188,304.041321
6100.241638,90140.054688,302.338379
6100.284786,89792.34375,301.837616
6100.327933,89873.539062,301.834167
6100.37108,89723.773438,301.747955
6100.414227,88113.601562,299.027008
6100.457375,88192.710938,298.992188
6100.500522,88948.742188,300.382629
6100.543669,88804.90625,300.23877
6100.586816,89603.953125,301.508057
6100.629964,90211.515625,302.505981
6100.673111,90784.265625,303.343536
6100.716258,91012.398438,303.752289
6100.759405,90872.078125,303.749817
6100.802553,91656.398438,304.873932
6100.8457,91122.492188,303.95932
6100.888847,90628.710938,303.108459
6100.931994,91810.09375,305.176117
6100.975142,91185.0,304.136749
6101.018289,92351.25,305.926697
6101.061436,91721.148438,305.07605
6101.104583,92161.671875,305.592865
6101.147731,91765.273438,305.214783
6101.190878,92102.40625,305.729645
6101.234025,92222.226562,305.757385
6101.277173,92974.6875,307.06665
6101.32032,92732.445312,306.598846
6101.363467,92487.484375,306.203217
6101.406614,92829.109375,306.757233
6101.449762,92934.992188,306.936798
6101.492909,93163.960938,307.369385
6101.536056,92781.75,306.818665
6101.579203,92782.953125,306.801941
6101.622351,92823.15625,306.799011
6101.665498,92773.039062,306.756348
6101.708645,93106.664062,307.209686
6101.751792,92602.773438,306.480072
6101.79494,92218.273438,305.805756
6101.838087,92259.921875,306.111633
6101.881234,93492.601562,307.917725
6101.924381,92657.375,306.544525
6101.967529,93615.804688,307.963776
6102.010676,92952.507812,307.007935
6102.053823,92706.320312,306.59613
6102.09697,91284.835938,304.275116
6102.140118,90731.921875,303.362457
6102.183265,87553.3125,298.07196
6102.226412,81818.085938,288.200989
6102.269559,73462.601562,273.494385
6102.312707,66233.367188,260.003296
6102.355854,64389.164062,256.437042
6102.399001,67788.664062,263.108215
6102.442149,75193.84375,276.727203
6102.485296,83188.859375,290.703156
6102.528443,88595.054688,299.832123
6102.57159,90360.867188,302.79538
6102.614738,90919.648438,303.6492
6102.657885,89775.0,301.776215
6102.701032,86467.75,296.247681
6102.744179,78961.492188,283.463409
6102.787327,69217.875,265.69577
6102.830474,57839.933594,243.420914
6102.873621,50086.109375,227.043259
6102.916768,50300.289062,227.501328
6102.959916,58869.4375,245.656616
6103.003063,70814.539062,268.563293
6103.04621,81438.265625,287.638367
6103.089357,87710.453125,298.407745
6103.132505,90470.632812,302.903564
6103.175652,90578.492188,302.956207
6103.218799,87726.6875,298.408905
6103.261946,82195.109375,288.993103
6103.305094,74628.851562,275.60849
6103.348241,69667.828125,266.535095
6103.391388,68266.71875,263.909271
6103.434535,70962.695312,268.908112
6103.477683,77009.726562,279.752533
6103.52083,82114.023438,289.029175
6103.563977,87549.601562,298.075653
6103.607125,90459.109375,302.865509
6103.650272,92713.335938,306.670197
6103.693419,92784.867188,306.748505
6103.736566,93994.335938,308.611816
6103.779714,94410.078125,309.343506
